Day,Slope SD,Slope std dev SD,Slope 68% IC SD LOW,Slope 68% IC SD HIGH,Slope 95% IC SD LOW,Slope 95% IC SD HIGH,Slope 99.7% IC SD LOW,Slope 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,Intercept SD,Intercept std dev SD,Intercept 68% IC SD LOW,Intercept 68% IC SD HIGH,Intercept 95% IC SD LOW,Intercept 95% IC SD HIGH,Intercept 99.7% IC SD LOW,Intercept 99.7% IC SD HIGH,S-Moving avrg 7 days SD,S-Moving avrg 14 days SD,R-value,P-value
346,0.04233583807805423,0.003323978350833011,0.03901185972722122,0.045659816428887244,0.03582084051042153,0.04885083564568693,0.03319489761326345,0.05147677854284501,-0.3229900546058824,-0.2881890205766077,-0.16388902010025858,0.003323978350833011,-0.16721299845109158,-0.16056504174942557,-0.1704040176678913,-0.15737402253262586,-0.17302996056504935,-0.1547480796354678,-0.3229900546058824,-0.2881890205766077,0.22302833232526845,2.958104163392191e-36
347,0.09163921134544742,0.004812738405741976,0.08682647293970544,0.0964519497511894,0.08220624407019314,0.1010721786207017,0.07840418072965699,0.10487424196123785,-0.30024461200626956,-0.2813519579501644,-0.35902880886970223,0.004812738405741976,-0.3638415472754442,-0.35421607046396025,-0.3684617761449565,-0.34959584159444795,-0.3722638394854927,-0.3457937782539118,-0.30024461200626956,-0.2813519579501644,0.3236333319238195,1.553852945462623e-76
348,0.03694770150248707,0.0026171800899328097,0.034330521412554264,0.03956488159241988,0.03181802852621877,0.042077374478755376,0.029750456255171844,0.0441449467498023,-0.3310306680131612,-0.29879380003276157,-0.14592220753826474,0.0026171800899328097,-0.14853938762819754,-0.14330502744833193,-0.15105188051453305,-0.14079253456199642,-0.15311945278557995,-0.13872496229094952,-0.3310306680131612,-0.29879380003276157,0.24581519827292303,6.618206595957813e-44
349,0.07088511556546193,0.0038884830090817413,0.06699663255638018,0.07477359857454367,0.06326368886766172,0.07850654226326213,0.06019178729048714,0.08157844384043672,-0.31701361577493525,-0.29489545982174054,-0.280345986271933,0.0038884830090817413,-0.28423446928101476,-0.2764575032628513,-0.2879674129697332,-0.27272455957413283,-0.2910393145469078,-0.26965265799695826,-0.31701361577493525,-0.29489545982174054,0.31120356538259014,1.299096093584399e-70
350,0.13595802512019586,0.005532681188646582,0.13042534393154928,0.14149070630884245,0.12511396999044855,0.14680208024994318,0.12074315185141776,0.15117289838897396,-0.27015901573498885,-0.2767523467188237,-0.5304101126843571,0.005532681188646582,-0.5359427938730037,-0.5248774314957105,-0.5412541678141044,-0.5195660575546098,-0.5456249859531352,-0.515195239415579,-0.27015901573498885,-0.2767523467188237,0.4038316759288255,5.599315182464205e-122
351,0.11481700219050325,0.004845942710027211,0.10997105948047604,0.11966294490053046,0.10531895447884992,0.12431504990215658,0.10149065973792842,0.12814334464307808,-0.2903153497527818,-0.28933191953173587,-0.4517988729511156,0.004845942710027211,-0.4566448156611428,-0.4469529302410884,-0.46129692066276895,-0.44230082523946224,-0.46512521540369045,-0.43847253049854074,-0.2903153497527818,-0.28933191953173587,0.3916200548975161,3.364669994713715e-114
352,0.08987877003882566,0.004657115670197433,0.08522165436862823,0.09453588570902309,0.0807508233252387,0.09900671675241263,0.07707170194578272,0.1026858381318686,-0.3218991680692718,-0.3064137565541143,-0.35107489354230603,0.004657115670197433,-0.3557320092125035,-0.3464177778721086,-0.360202840255893,-0.34194694682871907,-0.36388196163534897,-0.3382678254492631,-0.3218991680692718,-0.3064137565541143,0.3275548116761855,1.8365079973060055e-78
353,0.08693039235029534,0.00469308393157277,0.08223730841872258,0.09162347628186811,0.07773194784441272,0.09612883685617797,0.07402441153847023,0.09983637316212046,-0.3530968136429464,-0.324646940737941,-0.3359681245540302,0.00469308393157277,-0.34066120848560294,-0.33127504062245744,-0.34516656905991283,-0.32676968004814755,-0.3488741053658553,-0.3230621437422051,-0.3530968136429464,-0.324646940737941,0.3157194095061867,9.877973686569936e-73
354,0.07096073122499848,0.004206563530895256,0.06675416769410322,0.07516729475589373,0.06271586670444378,0.07920559574555318,0.05939268151503652,0.08252878093496042,-0.34925336625700115,-0.32738589834225584,-0.2753942463010052,0.004206563530895256,-0.27960080983190044,-0.2711876827701099,-0.2836391108215599,-0.26714938178045045,-0.2869622960109671,-0.2638261965910432,-0.34925336625700115,-0.32738589834225584,0.29000359203346837,3.75331958931735e-61
355,0.050932287129831486,0.0032931356640451192,0.047639151465786365,0.054225422793876606,0.04447774122830305,0.05738683303135992,0.04187616405370741,0.059988410205955564,-0.3708320393841245,-0.33516141937861377,-0.20399034682840286,0.0032931356640451192,-0.207283482492448,-0.20069721116435774,-0.2104448927299313,-0.19753580092687442,-0.21304646990452694,-0.19493422375227878,-0.3708320393841245,-0.33516141937861377,0.2676869302165627,4.916473134500339e-52
